"";"x"
"Jan 1930";82
"Fev 1930";87,1
"Mar 1930";59,2
"Abr 1930";43,9
"Mai 1930";35,6
"Jun 1930";32
"Jul 1930";29,5
"Ago 1930";25,7
"Set 1930";27,5
"Out 1930";38
"Nov 1930";37,1
"Dez 1930";86,2
"Jan 1931";80,9
"Fev 1931";174,7
"Mar 1931";118,1
"Abr 1931";84,8
"Mai 1931";59
"Jun 1931";49,4
"Jul 1931";39,2
"Ago 1931";33,2
"Set 1931";43,3
"Out 1931";41,7
"Nov 1931";41,9
"Dez 1931";103,2
"Jan 1932";102,5
"Fev 1932";88,9
"Mar 1932";87,4
"Abr 1932";56
"Mai 1932";57,9
"Jun 1932";53,3
"Jul 1932";38,4
"Ago 1932";33,2
"Set 1932";27,4
"Out 1932";33,2
"Nov 1932";31,8
"Dez 1932";80,3
"Jan 1933";65,3
"Fev 1933";54,2
"Mar 1933";46,9
"Abr 1933";34,7
"Mai 1933";34,8
"Jun 1933";29,4
"Jul 1933";26,6
"Ago 1933";24,4
"Set 1933";25
"Out 1933";25,5
"Nov 1933";23,5
"Dez 1933";37,7
"Jan 1934";65,5
"Fev 1934";56,2
"Mar 1934";45,8
"Abr 1934";34,1
"Mai 1934";26,2
"Jun 1934";24
"Jul 1934";20,2
"Ago 1934";18,2
"Set 1934";20,6
"Out 1934";23,1
"Nov 1934";18,5
"Dez 1934";91,4
"Jan 1935";47,1
"Fev 1935";101,1
"Mar 1935";78,4
"Abr 1935";57,9
"Mai 1935";39,6
"Jun 1935";36,1
"Jul 1935";29
"Ago 1935";25,9
"Set 1935";34,6
"Out 1935";64,1
"Nov 1935";32,6
"Dez 1935";38,8
"Jan 1936";53
"Fev 1936";53,1
"Mar 1936";97,2
"Abr 1936";53,7
"Mai 1936";38,9
"Jun 1936";30,7
"Jul 1936";27,8
"Ago 1936";35
"Set 1936";36
"Out 1936";27,4
"Nov 1936";35,8
"Dez 1936";107
"Jan 1937";139,4
"Fev 1937";81,5
"Mar 1937";63
"Abr 1937";67
"Mai 1937";50,5
"Jun 1937";44
"Jul 1937";33,3
"Ago 1937";29,3
"Set 1937";23,3
"Out 1937";44,7
"Nov 1937";57,4
"Dez 1937";93,7
"Jan 1938";82,4
"Fev 1938";62,4
"Mar 1938";64,8
"Abr 1938";50,8
"Mai 1938";45,2
"Jun 1938";35,8
"Jul 1938";31,8
"Ago 1938";31,5
"Set 1938";33,5
"Out 1938";55,4
"Nov 1938";49,7
"Dez 1938";54,7
"Jan 1939";80,2
"Fev 1939";79,1
"Mar 1939";60,8
"Abr 1939";59,4
"Mai 1939";47,6
"Jun 1939";37,9
"Jul 1939";31,1
"Ago 1939";25,5
"Set 1939";24
"Out 1939";23,2
"Nov 1939";34,9
"Dez 1939";51,2
"Jan 1940";92,5
"Fev 1940";149,5
"Mar 1940";86
"Abr 1940";57,7
"Mai 1940";43,3
"Jun 1940";33,4
"Jul 1940";27
"Ago 1940";22
"Set 1940";20,6
"Out 1940";24,8
"Nov 1940";38,4
"Dez 1940";44,5
"Jan 1941";50
"Fev 1941";34,9
"Mar 1941";37,8
"Abr 1941";29,6
"Mai 1941";21,9
"Jun 1941";20,2
"Jul 1941";19,5
"Ago 1941";14,6
"Set 1941";40,7
"Out 1941";42,1
"Nov 1941";41,8
"Dez 1941";48,2
"Jan 1942";50,4
"Fev 1942";69,2
"Mar 1942";74,1
"Abr 1942";55
"Mai 1942";38,9
"Jun 1942";34,7
"Jul 1942";35,3
"Ago 1942";25,2
"Set 1942";23,3
"Out 1942";21,7
"Nov 1942";25,3
"Dez 1942";38,8
"Jan 1943";50,2
"Fev 1943";61,3
"Mar 1943";71,8
"Abr 1943";39,9
"Mai 1943";29
"Jun 1943";26,6
"Jul 1943";21,7
"Ago 1943";20,7
"Set 1943";19,6
"Out 1943";27,8
"Nov 1943";29,3
"Dez 1943";33,2
"Jan 1944";36,2
"Fev 1944";47,9
"Mar 1944";71,6
"Abr 1944";36,2
"Mai 1944";27,1
"Jun 1944";23
"Jul 1944";20,8
"Ago 1944";16,5
"Set 1944";14,9
"Out 1944";14,1
"Nov 1944";30,3
"Dez 1944";25,7
"Jan 1945";35,9
"Fev 1945";85,9
"Mar 1945";40
"Abr 1945";32
"Mai 1945";25,1
"Jun 1945";50,3
"Jul 1945";33,7
"Ago 1945";22,4
"Set 1945";20,3
"Out 1945";19,2
"Nov 1945";38,7
"Dez 1945";48,6
"Jan 1946";100
"Fev 1946";78,3
"Mar 1946";74,1
"Abr 1946";57
"Mai 1946";37,9
"Jun 1946";35,6
"Jul 1946";33,7
"Ago 1946";24
"Set 1946";19,6
"Out 1946";27,3
"Nov 1946";27,8
"Dez 1946";33,6
"Jan 1947";94,2
"Fev 1947";97,6
"Mar 1947";122,1
"Abr 1947";58
"Mai 1947";45
"Jun 1947";39,2
"Jul 1947";36,7
"Ago 1947";31,7
"Set 1947";38,6
"Out 1947";40,8
"Nov 1947";37
"Dez 1947";84,5
"Jan 1948";78,1
"Fev 1948";83
"Mar 1948";109,3
"Abr 1948";67,1
"Mai 1948";50,1
"Jun 1948";38,9
"Jul 1948";32,9
"Ago 1948";29,8
"Set 1948";24,5
"Out 1948";24,4
"Nov 1948";28,2
"Dez 1948";34,6
"Jan 1949";54,8
"Fev 1949";71,8
"Mar 1949";51,8
"Abr 1949";45,1
"Mai 1949";31,7
"Jun 1949";28,3
"Jul 1949";22,7
"Ago 1949";18,5
"Set 1949";16,3
"Out 1949";17,8
"Nov 1949";22,2
"Dez 1949";57,6
"Jan 1950";86,9
"Fev 1950";138,4
"Mar 1950";97,6
"Abr 1950";74,8
"Mai 1950";49,4
"Jun 1950";41,1
"Jul 1950";33,5
"Ago 1950";26,1
"Set 1950";21,8
"Out 1950";31,4
"Nov 1950";39,2
"Dez 1950";58,6
"Jan 1951";80,1
"Fev 1951";88,4
"Mar 1951";80,5
"Abr 1951";59,3
"Mai 1951";39,8
"Jun 1951";32,7
"Jul 1951";29,8
"Ago 1951";26,4
"Set 1951";19,9
"Out 1951";23,3
"Nov 1951";30,7
"Dez 1951";39,7
"Jan 1952";60,3
"Fev 1952";111,3
"Mar 1952";83,9
"Abr 1952";48,3
"Mai 1952";33,8
"Jun 1952";44
"Jul 1952";28,4
"Ago 1952";23,5
"Set 1952";24,6
"Out 1952";22,6
"Nov 1952";35,8
"Dez 1952";26,6
"Jan 1953";26,9
"Fev 1953";34,5
"Mar 1953";29,8
"Abr 1953";34,6
"Mai 1953";23,8
"Jun 1953";20,7
"Jul 1953";17,6
"Ago 1953";16,3
"Set 1953";16,2
"Out 1953";17,5
"Nov 1953";26
"Dez 1953";31,5
"Jan 1954";48,5
"Fev 1954";73,6
"Mar 1954";44,3
"Abr 1954";30,7
"Mai 1954";40
"Jun 1954";28,4
"Jul 1954";21,2
"Ago 1954";17,1
"Set 1954";14,6
"Out 1954";21,6
"Nov 1954";14
"Dez 1954";30
"Jan 1955";51
"Fev 1955";29,1
"Mar 1955";47,7
"Abr 1955";32,3
"Mai 1955";23,1
"Jun 1955";21,2
"Jul 1955";16,9
"Ago 1955";18,2
"Set 1955";15,3
"Out 1955";16,4
"Nov 1955";31,1
"Dez 1955";40,3
"Jan 1956";51,1
"Fev 1956";39,3
"Mar 1956";46,1
"Abr 1956";32,3
"Mai 1956";38,5
"Jun 1956";40,4
"Jul 1956";28,4
"Ago 1956";37
"Set 1956";26,2
"Out 1956";25,3
"Nov 1956";21,5
"Dez 1956";27,8
"Jan 1957";84,5
"Fev 1957";85,9
"Mar 1957";90,6
"Abr 1957";60,6
"Mai 1957";42,2
"Jun 1957";36
"Jul 1957";33,1
"Ago 1957";30,3
"Set 1957";47,3
"Out 1957";32,8
"Nov 1957";43,5
"Dez 1957";50,8
"Jan 1958";76,9
"Fev 1958";90,3
"Mar 1958";85,1
"Abr 1958";63,5
"Mai 1958";66,6
"Jun 1958";60,6
"Jul 1958";46,1
"Ago 1958";34,1
"Set 1958";36,1
"Out 1958";33,7
"Nov 1958";37,4
"Dez 1958";47,7
"Jan 1959";69,4
"Fev 1959";54
"Mar 1959";72,6
"Abr 1959";66,9
"Mai 1959";39,7
"Jun 1959";31
"Jul 1959";25,4
"Ago 1959";26,6
"Set 1959";20,7
"Out 1959";21,3
"Nov 1959";30,9
"Dez 1959";45,8
"Jan 1960";77,3
"Fev 1960";79,3
"Mar 1960";80,8
"Abr 1960";45,4
"Mai 1960";40
"Jun 1960";34,5
"Jul 1960";27,9
"Ago 1960";23,6
"Set 1960";19
"Out 1960";23,2
"Nov 1960";33,4
"Dez 1960";120,7
"Jan 1961";109,2
"Fev 1961";89,4
"Mar 1961";106,5
"Abr 1961";70,6
"Mai 1961";60,9
"Jun 1961";41,9
"Jul 1961";32,9
"Ago 1961";27
"Set 1961";22,3
"Out 1961";20,5
"Nov 1961";27,8
"Dez 1961";44,4
"Jan 1962";55,3
"Fev 1962";84,9
"Mar 1962";103,8
"Abr 1962";47,4
"Mai 1962";38,9
"Jun 1962";30,8
"Jul 1962";26,6
"Ago 1962";24,9
"Set 1962";24
"Out 1962";53,4
"Nov 1962";41,2
"Dez 1962";68,2
"Jan 1963";106,3
"Fev 1963";88,8
"Mar 1963";58,9
"Abr 1963";38,4
"Mai 1963";30,4
"Jun 1963";25,9
"Jul 1963";21,7
"Ago 1963";19,2
"Set 1963";14,5
"Out 1963";24,5
"Nov 1963";29,2
"Dez 1963";21,8
"Jan 1964";30,5
"Fev 1964";78,2
"Mar 1964";35,7
"Abr 1964";27,6
"Mai 1964";24,8
"Jun 1964";20,6
"Jul 1964";21,3
"Ago 1964";16,8
"Set 1964";15,2
"Out 1964";25,9
"Nov 1964";26,3
"Dez 1964";58,6
"Jan 1965";94,2
"Fev 1965";93,4
"Mar 1965";76,8
"Abr 1965";43
"Mai 1965";46,4
"Jun 1965";33
"Jul 1965";31,9
"Ago 1965";24
"Set 1965";21,6
"Out 1965";40,3
"Nov 1965";44,5
"Dez 1965";70,6
"Jan 1966";87,3
"Fev 1966";72
"Mar 1966";96,7
"Abr 1966";53,6
"Mai 1966";41,1
"Jun 1966";31,1
"Jul 1966";25,9
"Ago 1966";25,4
"Set 1966";21,2
"Out 1966";29,8
"Nov 1966";38,8
"Dez 1966";96,4
"Jan 1967";115
"Fev 1967";115,4
"Mar 1967";89,2
"Abr 1967";57
"Mai 1967";41
"Jun 1967";43,6
"Jul 1967";31
"Ago 1967";24,7
"Set 1967";24,8
"Out 1967";28,9
"Nov 1967";42
"Dez 1967";49,5
"Jan 1968";70
"Fev 1968";42,1
"Mar 1968";50,5
"Abr 1968";39,6
"Mai 1968";29,6
"Jun 1968";25,4
"Jul 1968";22,3
"Ago 1968";21,4
"Set 1968";18,4
"Out 1968";22,2
"Nov 1968";18,5
"Dez 1968";32,3
"Jan 1969";31,3
"Fev 1969";32
"Mar 1969";30,2
"Abr 1969";32
"Mai 1969";19,9
"Jun 1969";21,3
"Jul 1969";15,7
"Ago 1969";16,4
"Set 1969";12,2
"Out 1969";26,4
"Nov 1969";49,2
"Dez 1969";40,4
"Jan 1970";87,1
"Fev 1970";155
"Mar 1970";89,6
"Abr 1970";50,3
"Mai 1970";42
"Jun 1970";36,1
"Jul 1970";32,4
"Ago 1970";28,5
"Set 1970";38,2
"Out 1970";33
"Nov 1970";37,4
"Dez 1970";36,6
"Jan 1971";35,9
"Fev 1971";27,6
"Mar 1971";40,4
"Abr 1971";32,4
"Mai 1971";26,7
"Jun 1971";36,9
"Jul 1971";25,9
"Ago 1971";17,8
"Set 1971";19,2
"Out 1971";39,5
"Nov 1971";32,7
"Dez 1971";53,4
"Jan 1972";67,7
"Fev 1972";82,2
"Mar 1972";59,5
"Abr 1972";45,9
"Mai 1972";32,7
"Jun 1972";28,6
"Jul 1972";28,5
"Ago 1972";29,9
"Set 1972";21,8
"Out 1972";45,5
"Nov 1972";44,3
"Dez 1972";38,6
"Jan 1973";55,1
"Fev 1973";61,4
"Mar 1973";48,9
"Abr 1973";50,9
"Mai 1973";39,4
"Jun 1973";32,3
"Jul 1973";32,5
"Ago 1973";24,9
"Set 1973";23,4
"Out 1973";28,9
"Nov 1973";39,8
"Dez 1973";61,5
"Jan 1974";89,9
"Fev 1974";55,8
"Mar 1974";59,5
"Abr 1974";46,5
"Mai 1974";33,7
"Jun 1974";39,1
"Jul 1974";28,8
"Ago 1974";21,7
"Set 1974";19,2
"Out 1974";23,5
"Nov 1974";26,9
"Dez 1974";53,3
"Jan 1975";50,1
"Fev 1975";72,1
"Mar 1975";50,8
"Abr 1975";32,1
"Mai 1975";26
"Jun 1975";22,3
"Jul 1975";22
"Ago 1975";16
"Set 1975";13
"Out 1975";22,6
"Nov 1975";31,9
"Dez 1975";68,2
"Jan 1976";52,6
"Fev 1976";95,9
"Mar 1976";86,6
"Abr 1976";68,5
"Mai 1976";60,1
"Jun 1976";63,1
"Jul 1976";69,6
"Ago 1976";52,7
"Set 1976";70,3
"Out 1976";55,7
"Nov 1976";62,9
"Dez 1976";74
"Jan 1977";82
"Fev 1977";63,3
"Mar 1977";56,2
"Abr 1977";69,5
"Mai 1977";41,3
"Jun 1977";38,9
"Jul 1977";28,3
"Ago 1977";22,8
"Set 1977";29,5
"Out 1977";25,7
"Nov 1977";39,9
"Dez 1977";60,2
"Jan 1978";54,1
"Fev 1978";45
"Mar 1978";48,7
"Abr 1978";29,1
"Mai 1978";28,2
"Jun 1978";32,4
"Jul 1978";28,1
"Ago 1978";19,4
"Set 1978";18,3
"Out 1978";16,6
"Nov 1978";48
"Dez 1978";43,7
"Jan 1979";44,3
"Fev 1979";46,7
"Mar 1979";42,8
"Abr 1979";36,1
"Mai 1979";38,4
"Jun 1979";26,5
"Jul 1979";25,7
"Ago 1979";27,6
"Set 1979";31,6
"Out 1979";33,9
"Nov 1979";40,3
"Dez 1979";48,1
"Jan 1980";69,2
"Fev 1980";60,1
"Mar 1980";52,2
"Abr 1980";65,4
"Mai 1980";36,8
"Jun 1980";35,2
"Jul 1980";26,5
"Ago 1980";23,1
"Set 1980";20,8
"Out 1980";21,4
"Nov 1980";32,7
"Dez 1980";62,3
"Jan 1981";94,4
"Fev 1981";36,3
"Mar 1981";33,4
"Abr 1981";27,6
"Mai 1981";22,5
"Jun 1981";23,6
"Jul 1981";17,5
"Ago 1981";14,5
"Set 1981";12,6
"Out 1981";53
"Nov 1981";87,6
"Dez 1981";107,4
"Jan 1982";83,4
"Fev 1982";77,6
"Mar 1982";105,4
"Abr 1982";61,8
"Mai 1982";41
"Jun 1982";51,4
"Jul 1982";38,2
"Ago 1982";38,3
"Set 1982";29
"Out 1982";52,5
"Nov 1982";49,8
"Dez 1982";101,2
"Jan 1983";122,7
"Fev 1983";137,6
"Mar 1983";126,9
"Abr 1983";105,2
"Mai 1983";98,4
"Jun 1983";181,5
"Jul 1983";86,7
"Ago 1983";67,5
"Set 1983";117,4
"Out 1983";98,5
"Nov 1983";90,1
"Dez 1983";113,8
"Jan 1984";88,1
"Fev 1984";61,1
"Mar 1984";48,4
"Abr 1984";55
"Mai 1984";52,9
"Jun 1984";32,4
"Jul 1984";27,2
"Ago 1984";33,8
"Set 1984";33,6
"Out 1984";24,9
"Nov 1984";24,5
"Dez 1984";46
"Jan 1985";73,3
"Fev 1985";72
"Mar 1985";75,3
"Abr 1985";45,8
"Mai 1985";27
"Jun 1985";28,2
"Jul 1985";24,9
"Ago 1985";22,6
"Set 1985";31,9
"Out 1985";20,5
"Nov 1985";29,3
"Dez 1985";25
"Jan 1986";35,9
"Fev 1986";49
"Mar 1986";53,3
"Abr 1986";32,5
"Mai 1986";34
"Jun 1986";21,9
"Jul 1986";18,3
"Ago 1986";26,8
"Set 1986";16
"Out 1986";17,6
"Nov 1986";24,4
"Dez 1986";89,3
"Jan 1987";82,4
"Fev 1987";75,1
"Mar 1987";75
"Abr 1987";49,7
"Mai 1987";78,6
"Jun 1987";65,3
"Jul 1987";44,2
"Ago 1987";36,2
"Set 1987";36,1
"Out 1987";33,7
"Nov 1987";31,8
"Dez 1987";34,7
"Jan 1988";64,9
"Fev 1988";75,6
"Mar 1988";87,7
"Abr 1988";75,5
"Mai 1988";61,5
"Jun 1988";54,8
"Jul 1988";35,6
"Ago 1988";30,6
"Set 1988";26,1
"Out 1988";38
"Nov 1988";36
"Dez 1988";40,6
"Jan 1989";90,8
"Fev 1989";100,6
"Mar 1989";79,7
"Abr 1989";50,1
"Mai 1989";40,8
"Jun 1989";39
"Jul 1989";40,2
"Ago 1989";35,8
"Set 1989";33,7
"Out 1989";25,7
"Nov 1989";28
"Dez 1989";38,4
"Jan 1990";80,4
"Fev 1990";34,1
"Mar 1990";57,6
"Abr 1990";36,6
"Mai 1990";34,8
"Jun 1990";25,6
"Jul 1990";30,9
"Ago 1990";27,9
"Set 1990";28,7
"Out 1990";32,3
"Nov 1990";27,8
"Dez 1990";27,3
"Jan 1991";55,3
"Fev 1991";70
"Mar 1991";97,1
"Abr 1991";94,1
"Mai 1991";54,4
"Jun 1991";40,2
"Jul 1991";32,6
"Ago 1991";26,5
"Set 1991";24,2
"Out 1991";48,5
"Nov 1991";23,9
"Dez 1991";35,2
"Jan 1992";31,4
"Fev 1992";38
"Mar 1992";39,3
"Abr 1992";32,4
"Mai 1992";33,7
"Jun 1992";21,6
"Jul 1992";20,4
"Ago 1992";17,7
"Set 1992";28
"Out 1992";42,8
"Nov 1992";53,8
"Dez 1992";49,2
"Jan 1993";45,7
"Fev 1993";72,7
"Mar 1993";56,9
"Abr 1993";45,2
"Mai 1993";35,3
"Jun 1993";36,1
"Jul 1993";23,3
"Ago 1993";21,5
"Set 1993";35,5
"Out 1993";30,9
"Nov 1993";21,1
"Dez 1993";25,3
"Jan 1994";43,6
"Fev 1994";48,8
"Mar 1994";56,7
"Abr 1994";41,1
"Mai 1994";31,5
"Jun 1994";24,4
"Jul 1994";22,2
"Ago 1994";16,8
"Set 1994";12,1
"Out 1994";21,9
"Nov 1994";24,3
"Dez 1994";43,8
"Jan 1995";45,8
"Fev 1995";158,1
"Mar 1995";84,6
"Abr 1995";66,9
"Mai 1995";45,4
"Jun 1995";33,6
"Jul 1995";36,2
"Ago 1995";24
"Set 1995";23
"Out 1995";50,3
"Nov 1995";37,3
"Dez 1995";40,7
"Jan 1996";96,8
"Fev 1996";81,6
"Mar 1996";115,9
"Abr 1996";63,4
"Mai 1996";43,1
"Jun 1996";34,4
"Jul 1996";26,3
"Ago 1996";24,6
"Set 1996";45,8
"Out 1996";37,3
"Nov 1996";44,9
"Dez 1996";68,7
"Jan 1997";85,8
"Fev 1997";70,5
"Mar 1997";48,6
"Abr 1997";35,4
"Mai 1997";30
"Jun 1997";42,4
"Jul 1997";24,5
"Ago 1997";19,8
"Set 1997";21
"Out 1997";27,8
"Nov 1997";40,7
"Dez 1997";46,8
"Jan 1998";43,6
"Fev 1998";67
"Mar 1998";53,1
"Abr 1998";36,2
"Mai 1998";35,8
"Jun 1998";26,2
"Jul 1998";21
"Ago 1998";16,7
"Set 1998";20,5
"Out 1998";42,4
"Nov 1998";27,3
"Dez 1998";52,7
"Jan 1999";122,3
"Fev 1999";89,2
"Mar 1999";66,5
"Abr 1999";40,1
"Mai 1999";30,5
"Jun 1999";32,7
"Jul 1999";22,8
"Ago 1999";16,8
"Set 1999";20,9
"Out 1999";15,4
"Nov 1999";16,8
"Dez 1999";30,5
"Jan 2000";66,5
"Fev 2000";64,5
"Mar 2000";46,3
"Abr 2000";31,4
"Mai 2000";20,1
"Jun 2000";17,3
"Jul 2000";19,7
"Ago 2000";19,3
"Set 2000";28,5
"Out 2000";14
"Nov 2000";33,8
"Dez 2000";52,6
"Jan 2001";41
"Fev 2001";53,4
"Mar 2001";40,2
"Abr 2001";32,5
"Mai 2001";23,8
"Jun 2001";17,7
"Jul 2001";15,8
"Ago 2001";14,3
"Set 2001";17,2
"Out 2001";36,8
"Nov 2001";34
"Dez 2001";54,2
"Jan 2002";75,4
"Fev 2002";71,9
"Mar 2002";54,9
"Abr 2002";39,4
"Mai 2002";29,1
"Jun 2002";21,1
"Jul 2002";16,8
"Ago 2002";19,5
"Set 2002";20
"Out 2002";14,6
"Nov 2002";25,8
"Dez 2002";32,5
"Jan 2003";79,4
"Fev 2003";55
"Mar 2003";37,9
"Abr 2003";24,7
"Mai 2003";21,4
"Jun 2003";16,5
"Jul 2003";13,9
"Ago 2003";12
"Set 2003";11,8
"Out 2003";18,9
"Nov 2003";21,9
"Dez 2003";40,1
"Jan 2004";34,8
"Fev 2004";62,4
"Mar 2004";39,3
"Abr 2004";36,3
"Mai 2004";34,6
"Jun 2004";40,4
"Jul 2004";32,5
"Ago 2004";19,4
"Set 2004";15,9
"Out 2004";26,9
"Nov 2004";33,3
"Dez 2004";39
"Jan 2005";78,8
"Fev 2005";55,3
"Mar 2005";58,4
"Abr 2005";37,2
"Mai 2005";42,8
"Jun 2005";28,2
"Jul 2005";24,1
"Ago 2005";17,7
"Set 2005";25,3
"Out 2005";25,7
"Nov 2005";33,1
"Dez 2005";41,5
"Jan 2006";52,4
"Fev 2006";85,6
"Mar 2006";66,7
"Abr 2006";42,8
"Mai 2006";27,5
"Jun 2006";23,6
"Jul 2006";22,1
"Ago 2006";17,1
"Set 2006";17,2
"Out 2006";20,1
"Nov 2006";23,1
"Dez 2006";42
"Jan 2007";77,1
"Fev 2007";40,3
"Mar 2007";34,7
"Abr 2007";30,9
"Mai 2007";22,5
"Jun 2007";23,7
"Jul 2007";34,4
"Ago 2007";19,1
"Set 2007";13,9
"Out 2007";17,1
"Nov 2007";46,7
"Dez 2007";36,9
"Jan 2008";47
"Fev 2008";58
"Mar 2008";66,5
"Abr 2008";59
"Mai 2008";42,2
"Jun 2008";35,7
"Jul 2008";23,2
"Ago 2008";26
"Set 2008";18,1
"Out 2008";24,6
"Nov 2008";31,6
"Dez 2008";40,5
"Jan 2009";67,4
"Fev 2009";100,3
"Mar 2009";66,7
"Abr 2009";43,4
"Mai 2009";31,7
"Jun 2009";28,7
"Jul 2009";33,6
"Ago 2009";25,3
"Set 2009";34,5
"Out 2009";41
"Nov 2009";42,6
"Dez 2009";109,1
"Jan 2010";132,8
"Fev 2010";78,2
"Mar 2010";72,7
"Abr 2010";56,3
"Mai 2010";33,7
"Jun 2010";26,8
"Jul 2010";28,8
"Ago 2010";18,2
"Set 2010";18,1
"Out 2010";18,7
"Nov 2010";26
"Dez 2010";46,5
"Jan 2011";144,9
"Fev 2011";52,4
"Mar 2011";80
"Abr 2011";58,1
"Mai 2011";35,3
"Jun 2011";31,3
"Jul 2011";24,1
"Ago 2011";19,5
"Set 2011";16,5
"Out 2011";23,9
"Nov 2011";33,7
"Dez 2011";32,1
"Jan 2012";64,1
"Fev 2012";37,3
"Mar 2012";28,1
"Abr 2012";27,8
"Mai 2012";32,3
"Jun 2012";48,7
"Jul 2012";31
"Ago 2012";16,9
"Set 2012";14
"Out 2012";20,4
"Nov 2012";18,1
"Dez 2012";32,3
"Jan 2013";48,5048387096774
"Fev 2013";54,2575
"Mar 2013";53,4964516129032
"Abr 2013";38,4066666666667
"Mai 2013";25,9112903225806
"Jun 2013";26,2053333333333
"Jul 2013";25,498064516129
"Ago 2013";16,82
"Set 2013";14,13
"Out 2013";25,0754838709677
"Nov 2013";22,058
"Dez 2013";22,488064516129
"Jan 2014";15,4374193548387
"Fev 2014";10,4660714285714
"Mar 2014";18,9148387096774
"Abr 2014";17,237
"Mai 2014";10,1367741935484
"Jun 2014";10,0276666666667
"Jul 2014";6,42935483870968
"Ago 2014";8,21645161290323
"Set 2014";8,956
"Out 2014";5,21032258064516
"Nov 2014";8,818
"Dez 2014";15,9767741935484
"Jan 2015";11,5135483870968
"Fev 2015";40,6742857142857
"Mar 2015";42,59
"Abr 2015";21,0786666666667
